248,2338,13107,66597,66598,157096
451,15189,15869,59667,158964,158965
1258,2029,127322,161464,161465,164250
1745,9898,20296,21255,117229,152014
1844,11640,25042,25043,25046,25062
2284,36738,113128,174742,174743,174744
2284,36738,113128,174742,174743,174745
2284,36738,113128,174742,174744,174745
2284,36738,113128,174743,174744,174745
2284,36738,174742,174743,174744,174745
2284,113128,174742,174743,174744,174745
2361,120886,238476,241145,245826,260126
3147,4071,34966,66691,170840,171080
3147,4071,34966,66691,170840,171081
3147,4071,34966,66691,171080,171081
3147,4071,34966,170840,171080,171081
3147,4071,66691,170840,171079,171080
3147,4071,66691,170840,171079,171081
3147,4071,66691,170840,171080,171081
3147,4071,66691,170840,171081,212262
3147,4071,66691,171079,171080,171081
3147,4071,170840,171079,171080,171081
3147,34966,66691,170840,171080,171081
3147,66691,170840,171079,171080,171081
3250,24299,117574,122333,125429,162093
3250,24299,117574,122333,125429,162094
3250,24299,117574,122333,125429,162095
3250,24299,117574,122333,162093,162094
3250,24299,117574,122333,162093,162095
3250,24299,117574,122333,162094,162095
3250,24299,117574,125429,162093,162094
3250,24299,117574,125429,162093,162095
3250,24299,117574,125429,162094,162095
3250,24299,117574,162093,162094,162095
3250,24299,122333,125429,162093,162094
3250,24299,122333,125429,162093,162095
3250,24299,122333,125429,162094,162095
3250,24299,122333,162093,162094,162095
3250,24299,125429,162093,162094,162095
3250,117574,122333,125429,162093,162094
3250,117574,122333,125429,162093,162095
3250,117574,122333,125429,162094,162095
3250,117574,122333,162093,162094,162095
3250,117574,125429,162093,162094,162095
3250,122333,125429,162093,162094,162095
3489,10396,159022,162585,162586,162587
4071,34966,66691,170840,171080,171081
4071,66691,170840,171079,171080,171081
4448,21532,39535,88987,224410,224411
4448,21532,39535,88987,224410,224412
4448,21532,39535,88987,224411,224412
4448,21532,39535,224410,224411,224412
4448,21532,88987,224410,224411,224412
4448,39535,88987,224410,224411,224412
5001,25034,30643,43169,81346,168028
5024,11169,24707,25492,40518,86169
5024,11169,24707,25492,40518,110088
5024,11169,24707,25492,40518,119207
5024,11169,24707,25492,40518,155646
5024,11169,24707,25492,86169,110088
5024,11169,24707,25492,86169,119207
5024,11169,24707,25492,86169,155646
5024,11169,24707,25492,110088,119207
5024,11169,24707,25492,110088,155646
5024,11169,24707,25492,119207,155646
5024,11169,24707,40518,86169,110088
5024,11169,24707,40518,86169,119207
5024,11169,24707,40518,86169,155646
5024,11169,24707,40518,110088,119207
5024,11169,24707,40518,110088,155646
5024,11169,24707,40518,119207,155646
5024,11169,24707,86169,110088,119207
5024,11169,24707,86169,110088,155646
5024,11169,24707,86169,119207,155646
5024,11169,24707,110088,119207,155646
5024,11169,25492,40518,86169,110088
5024,11169,25492,40518,86169,119207
5024,11169,25492,40518,86169,155646
5024,11169,25492,40518,110088,119207
5024,11169,25492,40518,110088,155646
5024,11169,25492,40518,119207,155646
5024,11169,25492,86169,110088,119207
5024,11169,25492,86169,110088,155646
5024,11169,25492,86169,119207,155646
5024,11169,25492,110088,119207,155646
5024,11169,40518,86169,110088,119207
5024,11169,40518,86169,110088,155646
5024,11169,40518,86169,119207,155646
