18,70081,163720
21,449,15808
27,345,61131
31,246,13399
35,63,15726
35,15724,55696
35,15724,57332
35,15724,171771
35,15726,139209
35,15726,161736
44,296,484
44,296,485
44,484,485
44,485,15955
58,59668,178100
62,8885,65229
71,187,57119
74,15467,161818
74,15900,123284
74,15900,164294
74,123284,164294
74,134592,161818
77,173,55907
77,173,134620
77,55907,134620
85,193,107223
88,16600,26713
88,16600,33068
88,26713,33068
91,92,14814
91,92,14815
91,92,14839
91,92,15759
91,14814,14815
91,14814,15759
91,14815,15759
92,14814,14815
92,14814,15759
92,14815,15759
99,161980,174178
106,14605,14744
106,14608,14615
106,14608,14790
106,14615,14790
113,127,15946
113,127,16093
113,127,56914
113,15946,16093
113,15946,56914
113,16093,56914
115,165,368
115,88681,100317
127,15946,16093
127,15946,56914
127,16093,56914
132,422,16061
132,422,106728
132,422,163449
132,13326,16060
132,13326,167880
132,16060,167880
132,16061,106728
132,16061,163449
132,106728,163449
135,676,908
135,676,9377
135,908,9377
137,158200,158201
153,15403,55742
173,275,15564
173,55907,134620
174,2874,14872
174,2874,93359
174,14872,93359
177,191,16007
177,191,164330
177,191,164331
177,16007,164330
177,16007,164331
177,164330,164331
185,14191,27815
185,14191,162427
185,27815,162427
190,267,46648
190,267,126317
190,267,164103
190,46648,126317
190,46648,164103
190,126317,164103
191,16007,164330
191,16007,164331
191,164330,164331
192,23288,78839
228,15083,15435
228,15083,57255
228,15435,57255
229,2716,11102
229,2716,135499
229,11102,135499
230,306,14688
230,14688,85146
230,14743,14840
230,14743,77329
230,14840,77329
231,174505,177703
231,174505,177704
231,177703,177704
235,15451,57049
244,317,469
244,469,15565
244,469,46450
244,477,15565
244,27991,55748
247,248,44196
248,2338,13107
248,2338,66597
248,2338,66598
248,2338,157096
248,3356,127299
248,13107,66597
248,13107,66598
248,13107,157096
248,17679,44196
248,66597,66598
248,66597,157096
248,66598,157096
253,56222,201914
258,2966,2967
258,2967,55404
258,14959,55404
267,46648,126317
267,46648,164103
267,126317,164103
275,328,16026
277,296,485
277,382,57182
277,485,15325
284,4533,55375
295,7925,133761
295,7925,160549
295,133761,160549
296,484,485
296,484,15955
296,485,15325
296,485,15955
296,485,170329
296,15325,15955
296,15325,170329
296,15955,170329
304,305,71389
304,71389,165911
319,2811,4511
319,2811,19487
319,4511,19487
319,8492,84177
319,10242,36919
319,49780,50573
323,14461,65546
332,1898,23880
332,1898,41604
332,47113,47114
332,47114,47694
381,14412,43382
393,4942,56807
393,4943,56807
393,55696,56807
404,56864,171874
415,7048,38531
415,38531,107203
415,38531,167129
415,107203,167129
418,77444,97635
419,14703,26724
422,16061,106728
422,16061,163449
